timestamp,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawLeft,jawRight,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthLeft,mouthRight,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,custom_52,custom_53,custom_54,custom_55,custom_56,custom_57,custom_58,custom_59,custom_60,custom_61,custom_62,custom_63,custom_64,custom_65,custom_66,custom_67
33.9,0.0,0.0,0.0,0.0,0.0,0.026614,0.29336,0.0,0.0,0.0,0.0,0.0,0.02674,0.293338,0.021439,0.0,0.025801,0.217155,0.014713,0.358247,0.05926,0.0029,0.0,0.0,0.000148,0.062726,0.060156,0.013667,0.012711,0.123002,0.130564,0.0,0.003695,0.0,0.000238,1.4e-05,5e-05,0.319223,0.308496,0.084648,0.085402,0.0,0.0,0.323756,0.329187,0.329303,0.0,0.032927,0.038209,0.000738,0.002027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.331902,1.0,0.376135,1.0,1.0,1.0
33.916667,0.0,0.0,0.0,0.0,0.0,0.027599,0.295889,0.0,0.0,0.0,0.0,0.0,0.02775,0.295902,0.025119,0.0,0.026683,0.243604,0.018391,0.353464,0.055732,0.00279,0.0,0.0,0.000173,0.073394,0.070303,0.014228,0.013067,0.129068,0.135239,0.0,0.004073,0.0,0.0002,3.6e-05,4.1e-05,0.338143,0.3279,0.084647,0.085414,0.0,0.0,0.327732,0.32537,0.325481,1.1e-05,0.031581,0.036592,0.000435,0.000609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.307144,1.0,0.369006,1.0,1.0,1.0
33.933333,0.0,0.0,0.0,0.0,0.0,0.028834,0.291823,0.0,0.0,0.0,0.0,0.0,0.028983,0.291833,0.028382,0.0,0.027709,0.233579,0.019049,0.334381,0.048623,0.002883,0.0,0.0,0.000154,0.065982,0.062849,0.015062,0.013587,0.135505,0.139707,0.0,0.004326,0.0,0.0002,8.4e-05,5.4e-05,0.330812,0.321236,0.084661,0.08579,0.0,0.0,0.330542,0.325357,0.325468,0.0,0.030778,0.03563,0.00049,0.000494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.313606,1.0,0.371749,1.0,1.0,1.0
33.95,0.0,0.0,0.0,0.0,0.0,0.03054,0.280591,0.0,0.0,0.0,0.0,0.0,0.030673,0.280579,0.03001,0.0,0.028991,0.188814,0.018443,0.290739,0.036051,0.003006,0.0,0.0,2.3e-05,0.044983,0.042673,0.015994,0.014425,0.138211,0.14191,0.0,0.004285,0.0,0.000338,0.000111,9.2e-05,0.285194,0.277287,0.078511,0.078915,0.0,0.0,0.333798,0.329645,0.329774,0.0,0.030998,0.035737,0.000494,0.000474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.337367,1.0,0.37636,1.0,1.0,1.0
33.966667,0.0,0.0,0.0,0.0,0.0,0.032702,0.269059,0.0,0.0,0.0,0.0,0.0,0.032833,0.26902,0.028393,0.0,0.028728,0.1408,0.019765,0.23831,0.023089,0.003262,0.0,0.0,0.0,0.015365,0.014221,0.016538,0.014788,0.140496,0.14563,0.0,0.004593,0.0,0.000528,0.000138,6e-05,0.233404,0.22817,0.067786,0.06826,0.0,0.0,0.336944,0.334892,0.335043,0.0,0.031068,0.035663,0.000473,0.000447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.358784,1.0,0.381905,1.0,1.0,1.0
33.983333,0.0,0.0,0.0,0.0,0.0,0.034355,0.257107,0.0,0.0,0.0,0.0,0.0,0.034489,0.257031,0.025253,0.0,0.027782,0.108201,0.0232,0.191007,0.017148,0.003557,0.0,0.0,0.000154,0.001543,0.00116,0.016725,0.014837,0.14009,0.145585,0.0,0.004588,0.0,0.000451,9.1e-05,7e-05,0.197162,0.193358,0.054596,0.055522,0.0,0.0,0.340148,0.33982,0.339982,0.0,0.032236,0.03642,0.000444,0.000383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.364609,1.0,0.383848,1.0,1.0,1.0
34.0,0.0,0.0,0.0,0.0,0.0,0.035898,0.246254,0.0,0.0,0.0,0.0,0.0,0.036066,0.246248,0.023327,0.0,0.026366,0.089348,0.025948,0.157147,0.014784,0.003529,0.0,0.002757,0.005232,0.0,0.000168,0.016256,0.014394,0.136906,0.142068,0.0,0.005015,0.0,0.00054,0.000133,8.4e-05,0.171743,0.168914,0.043871,0.044958,0.0,0.0,0.341318,0.34083,0.341002,0.0,0.032934,0.037066,0.000421,0.000423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39877,1.0,0.391013,1.0,1.0,1.0
34.016667,0.0,0.0,0.0,0.0,0.0,0.037712,0.237603,0.0,0.0,0.0,0.0,0.0,0.037904,0.237625,0.021733,0.0,0.024729,0.079616,0.027843,0.143188,0.012361,0.003874,0.0,0.013967,0.016972,0.0,0.000118,0.016076,0.014227,0.131689,0.135786,0.0,0.005164,0.0,0.000508,0.000147,8.3e-05,0.160035,0.157125,0.037933,0.038838,0.0,0.0,0.339886,0.339351,0.339539,0.0,0.034248,0.038491,0.000531,0.000371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.371714,1.0,0.382466,1.0,1.0,1.0
34.033333,0.0,0.0,0.0,0.0,0.0,0.039956,0.233224,0.0,0.0,0.0,0.0,0.0,0.040151,0.233254,0.020172,0.0,0.022766,0.075727,0.02765,0.149598,0.011038,0.003821,0.0,0.024618,0.0271,0.0,0.000124,0.016001,0.014209,0.124909,0.128342,0.0,0.005285,0.0,0.000381,0.000113,1.3e-05,0.1581,0.154833,0.035353,0.035868,0.0,0.0,0.333241,0.334174,0.334367,0.0,0.0357,0.040271,0.000528,0.000381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.372665,1.0,0.38482,1.0,1.0,1.0
34.05,0.0,0.0,0.0,0.0,0.0,0.041971,0.229964,0.0,0.0,0.0,0.0,0.0,0.042182,0.229996,0.019443,0.0,0.021141,0.076942,0.024458,0.166771,0.010997,0.003398,0.0,0.027315,0.029108,0.0,8.2e-05,0.016473,0.014961,0.120144,0.123788,0.0,0.005887,0.0,0.000266,8.5e-05,0.0,0.168997,0.165494,0.036425,0.036994,0.0,0.0,0.326244,0.327141,0.327369,0.0,0.037066,0.041815,0.000558,0.000368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.352885,1.0,0.39456,1.0,1.0,1.0
